"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5,J4,J1,J2";"Banana_Jack_1_Pin_4mm";4;"Conn_01x01_Pin";;;
2;"C1,C4,C2,C3";"C_0805_2012Metric";4;"100nF";;;
3;"C9,C10";"C_0805_2012Metric";2;"1u";;;
4;"R6,R3";"R_0603_1608Metric";2;"2m";;;
5;"U6";"MP04A";1;"LM3940IMP-3.3";;;
6;"IC2";"TSSOP20_PW_TEX";1;"ADS131M04QPWRQ1";;;
7;"U3,U4";"DCK0006A_N";2;"INA210AIDCKR";;;
8;"F2,F1";"Fuseholder_Blade_Mini_Keystone_3568";2;"Fuse";;;
9;"ARR_C";"TestPoint_HEX_3mmID";1;"ARRI_TP";;;
10;"D5";"LED_0805_2012Metric";1;"Power_LED";;;
11;"C6,C7";"C_0805_2012Metric";2;"10u";;;
12;"C12,C8,C5,C14";"C_0805_2012Metric";4;"0.1u";;;
13;"BATT_V";"TestPoint_HEX_3mmID";1;"BATTV_TP";;;
14;"IC1";"SO_0DVER_TEX";1;"UCC12040DVE";;;
15;"C15";"C_0805_2012Metric";1;"0.47u";;;
16;"ARR_V";"TestPoint_HEX_3mmID";1;"ARRV_TP";;;
17;"R7,R2";"R_0805_2012Metric";2;"3k";;;
18;"C13";"C_0805_2012Metric";1;"33u";;;
19;"D1,D4";"D_0805_2012Metric";2;"3.3V Zener";;;
20;"U5";"NucleoL432KC";1;"Nucleo_L432KC";;;
21;"IC7";"DW0016B-IPC_A";1;"ISO7762FDWR";;;
22;"BATT_C";"TestPoint_HEX_3mmID";1;"BATTI_TP";;;
23;"C11";"C_0805_2012Metric";1;"220n";;;
24;"R4,R1";"R_0805_2012Metric";2;"100k";;;
25;"U2,U1";"SC_90IDCKR_TEX";2;"OPA990IDCKR";;;
26;"D2,D3";"D_0805_2012Metric";2;"3V3";;;
27;"R5";"R_0805_2012Metric";1;"2k";;;
